Employee_Name,EmpID,MarriedID,MaritalStatusID,GenderID,EmpStatusID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,Position,State,Zip,DOB,Sex,MaritalDesc,CitizenDesc,HispanicLatino,RaceDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,DaysLateLast30,Absences
"Houlihan, Debra",182,0,0,0,4,5,3,1,76134,1,23,Production Technician I,MA,10433,11/11/89,F,Single,US Citizen,No,White,1/10/2011,2/22/2017,hours,Terminated for Cause,Production       ,Elijiah Gray,16,Employee Referral,Fully Meets,4.84,2,1,2/15/2015,2,5
"Cornett, Lisa ",43,1,1,1,4,5,3,0,104648,1,13,Production Technician I,MA,15215,04/14/55,M ,Married,US Citizen,No,Black or African American,7/8/2013,5/17/2016,N/A-StillEmployed,Voluntarily Terminated,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.37,4,1,2/12/2019,0,15
"Panjwani, Nina",133,0,1,0,4,3,2,1,74286,1,15,Production Manager,MA,15445,10/12/54,F,Married,US Citizen,No,White,5/11/2016,8/2/2014,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Google Search,Fully Meets,4.23,3,5,2/11/2019,2,11
"Carter, Michelle ",5,0,1,0,3,5,3,0,67037,1,10,Production Technician I,MA,26847,09/04/83,F,Married,US Citizen,No,White,1/10/2011,,N/A-StillEmployed,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Indeed,Fully Meets,3.83,4,2,2/6/2019,2,4
"Robinson, Cherly",171,1,3,0,4,4,2,0,80874,1,15,Network Engineer,MA,21611,05/19/88,M ,Separated,US Citizen,No,White,3/30/2015,5/18/2016,N/A-StillEmployed,Voluntarily Terminated,IT/IS,Peter Monroe,7,CareerBuilder,Fully Meets,4.72,2,5,3/2/2013,1,14
"Faller, Megan ",155,1,2,1,4,4,3,0,90686,1,15,Software Engineer,MA,33764,04/15/88,M ,Married,US Citizen,No,Black or African American,8/15/2011,11/4/2015,N/A-StillEmployed,Active,Admin Offices,Jennifer Zamora,5,Google Search,Fully Meets,4.23,3,4,1/18/2019,1,16
"Stansfield, Norman",22,1,2,0,1,5,3,0,92213,0,14,Area Sales Manager,MA,31325,11/23/81,F,Divorced,US Citizen,No,Black or African American,1/6/2014,,N/A-StillEmployed,Active,IT/IS,Lynn Daneault,21,LinkedIn,Fully Meets,3.83,5,4,1/16/2019,0,18
"Cloninger, Jennifer",118,0,1,1,1,4,3,0,120190,0,21,Production Manager,MA,12722,10/18/81,F,Married,US Citizen,No,White,7/8/2013,,N/A-StillEmployed,Active,Sales,David Stanley,14,Diversity Job Fair,Fully Meets,4.01,3,5,2/21/2019,1,4
"Roup,Simon",197,1,3,0,5,3,3,1,80336,1,16,Production Technician I,MA,1322,01/04/84,F,Divorced,US Citizen,No,Black or African American,1/5/2009,9/15/2015,N/A-StillEmployed,Voluntarily Terminated,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,3.93,5,4,2/6/2015,0,19
"Nguyen, Dheepa",134,0,1,1,4,5,3,0,62281,1,13,Area Sales Manager,MA,5698,12/31/84,M ,Divorced,US Citizen,No,White,11/11/2013,5/18/2016,medical issues,Terminated for Cause,Sales,Brannon Miller,12,LinkedIn,Fully Meets,4.35,4,3,2/24/2016,2,20
"Anderson, Linda  ",23,1,1,1,3,5,3,0,73994,1,14,Production Technician II,MA,30697,09/27/88,M ,Married,US Citizen,No,White,11/10/2014,5/17/2016,attendance,Voluntarily Terminated,Sales,Lynn Daneault,21,Indeed,Fully Meets,4.98,5,3,1/10/2015,0,4
"Singh, Nan ",105,1,1,0,4,6,3,0,85947,1,20,Database Administrator,MA,28318,08/16/84,F,Married,US Citizen,No,Black or African American,2/17/2014,9/6/2016,unhappy,Voluntarily Terminated,Production       ,David Stanley,14,LinkedIn,Fully Meets,2.69,3,1,1/2/2019,2,9
"Sullivan, Timothy",84,1,1,0,4,5,3,0,85855,1,14,Software Engineer,MA,15899,04/03/75,F,Married,US Citizen,No,White,9/6/2011,8/19/2018,Another position,Voluntarily Terminated,IT/IS,Janet King,2,Indeed,Exceeds,3.37,4,2,2/4/2019,2,19
"Newman, Richard ",107,0,0,0,3,6,2,0,66530,1,13,BI Developer,MA,27306,03/10/75,F,Single,US Citizen,Yes,White,5/16/2011,2/25/2018,N/A-StillEmployed,Voluntarily Terminated,Production       ,David Stanley,14,Employee Referral,Fully Meets,3.21,4,1,2/15/2015,2,10
"Stoica, Rick",129,0,0,0,3,3,3,0,65651,1,21,Production Technician I,MA,3292,02/02/65,F,Single,US Citizen,No,White,2/17/2014,,N/A-StillEmployed,Voluntarily Terminated,Production       ,Brannon Miller,12,Google Search,Exceeds,4.61,4,5,6/3/2013,2,4
"Trzeciak, Cybil",165,0,2,0,3,6,3,1,126695,0,17,IT Support,MA,34213,06/06/68,F,Divorced,US Citizen,No,White,6/5/2015,,N/A-StillEmployed,Active,Production       ,Peter Monroe,7,Google Search,Fully Meets,2.78,3,2,2/4/2019,0,10
"Linares, Marilyn ",116,0,0,0,4,5,4,1,110367,1,22,Area Sales Manager,MA,9867,05/27/73,M ,Single,US Citizen,No,Two or more races,2/16/2015,7/8/2017,unhappy,Voluntarily Terminated,Sales,David Stanley,14,Other,Fully Meets,3.3,4,2,7/14/2010,1,17
"Tredinnick, Neville ",180,1,2,0,4,6,3,0,80513,1,15,Area Sales Manager,MA,13849,01/31/87,F,Divorced,US Citizen,No,White,5/12/2014,6/25/2015,unhappy,Voluntarily Terminated,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,3.32,3,0,5/15/2014,0,20
"King, Janet",83,0,1,0,4,4,4,1,70788,1,21,IT Manager - DB,MA,16348,12/09/86,F,Married,US Citizen,No,White,7/11/2011,6/4/2015,N/A-StillEmployed,Active,Sales,Janet King,2,LinkedIn,Fully Meets,1.43,4,3,1/15/2019,0,12
"Anderson, Carol ",66,0,1,0,5,6,3,0,65424,1,20,Production Technician I,MA,25697,02/18/83,F,Married,US Citizen,No,White,6/6/2016,10/31/2015,relocation out of area,Terminated for Cause,Production       ,Michael Albert,22,Google Search,Exceeds,3.18,5,0,7/2/2012,1,14
"Gosciminski, Phylicia  ",10,1,2,1,4,5,4,1,74678,1,17,Production Technician I,MA,9754,11/15/76,M ,Married,US Citizen,Yes,White,4/2/2012,9/25/2013,unhappy,Active,Production       ,Kissy Sullivan,20,Indeed,Fully Meets,4.81,4,1,1/24/2019,0,7
"Robertson, Peter",62,0,1,0,5,5,3,0,101882,1,26,Production Technician I,MA,6517,11/09/72,F,Married,US Citizen,No,White,1/10/2011,6/27/2015,Fatal attraction,Terminated for Cause,Production       ,Michael Albert,22,Indeed,Exceeds,3.52,4,0,9/2/2015,1,18
"Champaigne, Brian",154,1,1,0,1,5,4,1,110218,0,5,Sr. Network Engineer,MA,21382,12/22/70,F,Married,US Citizen,No,Asian,2/15/2012,,N/A-StillEmployed,Active,Software Engineering,Jennifer Zamora,5,LinkedIn,Fully Meets,3.81,3,4,2/25/2019,1,10
"Zima, Colleen",88,1,2,1,2,3,3,1,114633,0,14,Administrative Assistant,MA,22382,08/17/78,M ,Divorced,US Citizen,No,White,8/16/2012,,N/A-StillEmployed,Active,Sales,Janet King,2,LinkedIn,Fully Meets,4.77,3,2,3/2/2018,1,9
"Langton, Enrico",149,0,2,1,5,3,4,0,99887,1,11,Director of Operations,MA,15530,02/11/52,M ,Separated,US Citizen,No,White,7/8/2013,,maternity leave - did not return,Voluntarily Terminated,Sales,Jennifer Zamora,5,LinkedIn,Fully Meets,4.82,5,7,2/7/2019,0,8
"Driver, Elle",143,1,0,1,1,5,2,0,116186,0,13,IT Director,MA,14805,07/09/70,M ,Single,US Citizen,No,White,9/26/2011,,N/A-StillEmployed,Active,Admin Offices,Jennifer Zamora,5,LinkedIn,Fully Meets,4.45,5,5,1/14/2019,1,15
"McKinzie, Jac",138,0,0,1,3,4,3,1,52026,0,14,Production Technician I,MA,7759,10/26/81,M ,Single,US Citizen,No,White,4/4/2011,,N/A-StillEmployed,Active,Production       ,Brannon Miller,12,Employee Referral,Fully Meets,4.67,3,2,4/5/2013,0,6
"Huynh, Ming",12,1,2,0,4,5,3,0,64445,1,10,Production Technician I,MA,7102,11/07/74,M ,Married,US Citizen,No,White,7/7/2014,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,3.71,5,0,2/15/2015,1,15
"Bernstein, Sean",169,0,0,0,2,4,3,0,154559,1,13,Senior BI Developer,MA,6104,06/06/86,F,Married,Eligible NonCitizen,No,White,5/13/2013,,N/A-StillEmployed,Voluntarily Terminated,Sales,Peter Monroe,7,Indeed,Fully Meets,3.12,4,6,1/7/2019,2,19
"Ozark, Travis",199,0,0,1,3,3,3,0,61990,1,17,Production Technician II,MA,13222,05/27/73,M ,Single,US Citizen,Yes,White,7/5/2015,9/26/2018,N/A-StillEmployed,Voluntarily Terminated,IT/IS,Elijiah Gray,16,LinkedIn,Fully Meets,2.79,3,3,7/2/2012,2,17
"Wallace, Theresa",174,1,1,0,2,4,2,0,106997,0,14,Software Engineer,MA,21971,10/30/63,M ,Single,US Citizen,No,White,1/7/2008,,N/A-StillEmployed,Active,Sales,Peter Monroe,7,Indeed,Exceeds,3.03,3,5,7/2/2013,3,12
"Cole, Spencer",72,1,3,0,5,5,4,0,82119,1,25,Production Technician II,MA,12738,07/09/70,M ,Divorced,US Citizen,No,White,9/29/2014,12/12/2015,unhappy,Voluntarily Terminated,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.93,3,1,2/15/2019,0,15
"Motlagh,  Dawn",42,0,0,0,3,5,2,0,58058,1,19,Production Technician I,MA,25498,03/26/73,M ,Single,US Citizen,Yes,White,7/5/2011,12/28/2017,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Google Search,Fully Meets,4.95,4,2,1/11/2019,0,12
"Cockel, James",64,1,1,0,3,1,3,0,52745,1,28,Production Technician I,MA,1683,08/10/88,F,Married,US Citizen,No,Black or African American,7/8/2013,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Diversity Job Fair,Fully Meets,4.35,4,3,1/24/2019,0,20
"Dobrin, Denisa  S",3,0,0,1,1,5,3,0,48657,0,25,Production Technician I,MA,9513,08/28/63,M ,Single,US Citizen,No,White,2/21/2011,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,4.36,5,1,2/18/2019,1,3
"Eaton, Marianne",7,0,1,0,4,5,2,0,81904,0,18,Production Technician I,MA,4002,02/21/84,F,Single,US Citizen,No,White,7/2/2012,,N/A-StillEmployed,Active,Production       ,Kissy Sullivan,20,Indeed,Fully Meets,4.38,5,0,6/3/2013,1,3
"Goyal, Roxana",147,1,2,0,4,4,3,0,117188,1,8,Database Administrator,MA,10837,09/02/82,F,Divorced,US Citizen,No,White,2/21/2011,1/15/2016,career change,Terminated for Cause,Software Engineering,Jennifer Zamora,5,LinkedIn,Fully Meets,4.67,4,4,2/13/2018,0,13
"Del Bosque, Keyla",56,1,2,0,2,5,4,0,74246,1,21,Production Technician I,MA,5361,05/06/89,F,Married,US Citizen,No,White,3/30/2015,,N/A-StillEmployed,Voluntarily Terminated,Production       ,Kelley Spirea,18,Indeed,Fully Meets,3.69,4,2,2/15/2015,1,19
"Harrington, Christie ",71,1,1,0,2,5,2,0,46932,1,21,Production Technician I,MA,23949,10/01/81,F,Married,US Citizen,No,White,8/15/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Indeed,Needs Improvement,4.36,5,0,1/10/2019,3,3
"Spirea, Kelley",4,1,1,0,4,3,4,0,80246,1,14,Production Technician II,MA,2498,05/09/74,F,Married,US Citizen,No,Black or African American,7/5/2011,,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Google Search,Exceeds,4.96,4,3,2/2/2015,2,8
"Zima, Colleen",57,0,1,1,4,5,4,1,75365,1,15,Production Technician II,MA,23955,02/24/79,M ,Married,US Citizen,No,White,1/6/2014,1/26/2016,more money,Voluntarily Terminated,Production       ,Kelley Spirea,18,Indeed,Fully Meets,2.34,5,1,4/2/2016,1,20
"Zamora, Jennifer",26,1,4,1,5,5,3,0,101764,1,5,Production Manager,MA,16871,05/11/85,M ,Widowed,US Citizen,No,White,2/17/2014,4/8/2015,more money,Active,Production       ,Lynn Daneault,21,Employee Referral,Fully Meets,3.99,2,2,1/20/2015,1,8
"Dietrich, Jenna  ",189,1,0,1,2,5,3,0,88313,0,9,Production Technician I,MA,23211,06/18/92,M ,Single,US Citizen,No,Black or African American,6/27/2011,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Employee Referral,Exceeds,3.83,4,2,6/10/2016,2,16
"Sparks, Taylor  ",36,1,0,0,3,5,3,1,107930,1,8,Area Sales Manager,MA,32345,07/18/89,M ,Single,US Citizen,No,Black or African American,4/4/2011,,N/A-StillEmployed,Active,Sales,Lynn Daneault,21,LinkedIn,Exceeds,3.7,3,3,4/29/2016,2,15
"Liebig, Ketsia",198,1,3,1,4,5,4,1,102238,1,9,Production Technician II,MA,14665,12/31/84,M ,Separated,US Citizen,No,White,3/30/2015,11/30/2012,retiring,Voluntarily Terminated,Production       ,Elijiah Gray,16,CareerBuilder,Fully Meets,3.49,3,2,5/15/2014,1,17
"Dobrin, Denisa  S",15,1,2,0,5,4,3,0,57784,1,11,Production Technician I,MA,15460,05/14/87,F,Divorced,US Citizen,No,White,9/29/2014,,Another position,Voluntarily Terminated,Sales,Kissy Sullivan,20,Google Search,Fully Meets,4.82,4,2,1/24/2019,1,19
"Whittier, Scott",80,1,2,0,4,4,4,0,80943,1,4,Software Engineering Manager,MA,20067,05/09/65,F,Married,US Citizen,No,White,2/18/2013,4/1/2013,Another position,Voluntarily Terminated,Admin Offices,Janet King,2,CareerBuilder,Fully Meets,2.66,4,4,2/2/2015,1,17
"Peters, Lauren",123,0,1,1,5,3,2,1,83102,1,21,Production Technician I,MA,1512,03/28/82,M ,Married,US Citizen,No,White,10/27/2008,12/15/2015,performance,Voluntarily Terminated,Production       ,Brannon Miller,12,Website,Fully Meets,4.34,3,3,4/2/2015,1,4
"Martin, Sandra",38,1,0,1,3,5,2,0,105653,1,20,Sr. Network Engineer,MA,37348,01/07/85,M ,Single,US Citizen,No,White,1/10/2011,5/1/2018,N/A-StillEmployed,Voluntarily Terminated,IT/IS,Lynn Daneault,21,Employee Referral,Fully Meets,4.66,1,3,5/15/2012,2,9
"Moumanil, Maliki ",188,1,2,0,2,6,3,0,50386,0,7,Production Technician I,MA,25074,06/29/85,F,Divorced,US Citizen,No,White,7/8/2013,,N/A-StillEmployed,Active,Production       ,Elijiah Gray,16,Google Search,Fully Meets,1.68,3,2,1/29/2019,2,12
"Le, Binh",81,1,4,0,2,1,3,0,86686,0,20,BI Developer,MA,1467,12/08/73,F,Widowed,US Citizen,No,White,1/9/2012,,Another position,Active,Production       ,Janet King,2,Indeed,Fully Meets,3.61,1,8,2/15/2015,1,3
"Villanueva, Noah",106,0,1,1,4,5,2,0,123320,1,13,Area Sales Manager,MA,19457,07/20/68,F,Single,US Citizen,No,White,8/19/2013,,unhappy,Voluntarily Terminated,IT/IS,David Stanley,14,CareerBuilder,Fully Meets,4.18,4,2,8/16/2015,1,6
"Zamora, Jennifer",95,1,3,1,4,4,2,0,49212,1,15,Production Manager,MA,20178,07/11/89,M ,Separated,US Citizen,No,White,11/7/2011,2/8/2012,Another position,Voluntarily Terminated,Production       ,Janet King,2,Employee Referral,Exceeds,2.92,4,3,6/2/2014,2,7
"Corleone, Michael",82,0,0,1,2,4,3,0,97633,1,21,Production Manager,MA,9993,02/25/51,F,Single,US Citizen,No,White,7/7/2014,,attendance,Voluntarily Terminated,IT/IS,Janet King,2,Employee Referral,Fully Meets,4.15,4,2,2/22/2019,2,8
"Cornett, Lisa ",40,1,2,0,3,5,3,0,104684,0,19,Network Engineer,MA,19359,09/14/79,F,Married,US Citizen,No,White,1/10/2011,,N/A-StillEmployed,Active,Production       ,Kelley Spirea,18,Indeed,Fully Meets,3.43,4,3,1/10/2019,1,18
"Steans, Tyrone  ",90,0,0,0,4,5,3,0,95881,1,3,Network Engineer,MA,22229,08/07/86,F,Single,US Citizen,No,Black or African American,9/30/2013,8/13/2018,return to school,Voluntarily Terminated,IT/IS,Janet King,2,Indeed,Fully Meets,4.71,5,3,2/20/2013,2,19
"Purinton, Janine",52,0,0,1,2,6,3,0,94810,1,11,Production Technician I,MA,31194,09/30/75,M ,Single,US Citizen,No,Black or African American,3/30/2015,4/1/2013,N/A-StillEmployed,Terminated for Cause,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.76,5,4,1/7/2012,1,6
"Miller, Ned",139,1,2,1,4,3,3,0,150524,1,18,BI Developer,MA,2671,12/31/84,M ,Married,US Citizen,No,White,7/2/2012,12/12/2015,attendance,Terminated for Cause,IT/IS,Brannon Miller,12,LinkedIn,Fully Meets,4.33,3,3,2/4/2018,0,7
"Chigurh, Anton",194,0,1,0,4,3,3,0,48125,1,21,Production Technician I,MA,2859,08/24/83,F,Married,US Citizen,No,White,1/10/2011,5/14/2012,medical issues,Voluntarily Terminated,Production       ,Elijiah Gray,16,Google Search,Fully Meets,4.41,4,2,2/5/2019,1,12
"Landa, Hans",89,0,1,1,2,3,3,0,87485,1,16,BI Developer,MA,5114,09/11/72,M ,Single,US Citizen,No,Asian,1/6/2014,,N/A-StillEmployed,Voluntarily Terminated,Sales,Janet King,2,Diversity Job Fair,Fully Meets,4.68,3,6,5/6/2016,1,11
"Barton, Nader",121,1,1,0,4,5,4,0,85547,1,12,Database Administrator,MA,28481,08/31/81,M ,Single,US Citizen,No,White,7/8/2013,,Another position,Voluntarily Terminated,IT/IS,Brannon Miller,12,Diversity Job Fair,Exceeds,4.79,4,1,4/2/2016,2,8
"Barton, Nader",161,0,0,0,3,4,3,0,129435,1,13,Production Technician II,MA,16287,09/08/89,F,Single,US Citizen,No,White,2/17/2014,4/1/2013,N/A-StillEmployed,Voluntarily Terminated,IT/IS,Peter Monroe,7,Indeed,Needs Improvement,3.67,3,5,1/4/2019,3,8
"Nowlan, Kristie",110,0,0,0,4,5,4,0,81859,1,12,Production Technician I,MA,43526,04/23/86,F,Single,US Citizen,No,White,1/9/2012,6/16/2016,performance,Voluntarily Terminated,IT/IS,David Stanley,14,Employee Referral,Needs Improvement,4.8,3,3,1/19/2019,1,14
"Jeannite, Tayana",100,1,2,0,4,6,3,1,94647,1,10,Production Technician II,MA,30341,09/22/78,F,Married,US Citizen,No,White,8/18/2014,,N/A-StillEmployed,Active,IT/IS,David Stanley,14,CareerBuilder,Fully Meets,4.93,4,2,5/3/2012,0,6
"Chivukula, Enola",175,1,1,1,1,6,1,1,101556,0,9,Data Analyst,MA,54000,08/09/83,M ,Married,Eligible NonCitizen,No,White,4/2/2012,,N/A-StillEmployed,Active,Sales,Peter Monroe,7,LinkedIn,Exceeds,3.11,3,4,2/14/2019,3,10
"Hudson, Jane",60,1,2,1,3,5,3,0,99736,0,30,Production Technician I,MA,3331,08/25/89,M ,Married,US Citizen,No,White,4/4/2011,,N/A-StillEmployed,Active,Production       ,Michael Albert,22,Employee Referral,Fully Meets,4.99,4,1,1/21/2019,0,5
"Rivera, Haley  ",130,0,1,0,3,5,3,0,78608,1,16,Production Technician II,MA,19067,03/17/66,F,Married,US Citizen,No,Black or African American,7/7/2014,,N/A-StillEmployed,Voluntarily Terminated,Production       ,Brannon Miller,12,Indeed,Fully Meets,1.87,4,2,2/1/2013,0,4
"Del Bosque, Keyla",97,1,1,0,3,4,2,0,66891,0,10,BI Developer,MA,20561,02/25/51,F,Married,US Citizen,No,White,1/7/2013,6/15/2013,N/A-StillEmployed,Active,IT/IS,Janet King,2,Google Search,Fully Meets,2.63,3,6,1/18/2019,2,6
"Zamora, Jennifer",101,1,2,1,5,2,2,1,104673,1,14,Senior BI Developer,MA,18854,08/30/79,M ,Married,US Citizen,No,Black or African American,7/7/2014,1/26/2016,retiring,Voluntarily Terminated,Sales,David Stanley,14,Diversity Job Fair,Fully Meets,3.18,3,6,3/2/2016,2,5
"Handschiegl, Joanne",144,1,0,1,3,4,2,0,142297,1,15,Area Sales Manager,MA,9924,10/01/81,F,Single,US Citizen,No,Black or African American,5/14/2012,6/25/2015,attendance,Voluntarily Terminated,Sales,Jennifer Zamora,5,LinkedIn,Fully Meets,3.03,2,6,4/12/2018,3,16
"Perry, Shakira",29,0,1,0,3,6,4,0,122740,1,4,IT Director,MA,37062,04/14/81,M ,Single,US Citizen,No,Black or African American,1/6/2014,,N/A-StillEmployed,Voluntarily Terminated,IT/IS,Lynn Daneault,21,LinkedIn,Fully Meets,3.38,4,4,2/20/2014,0,8
"Hankard, Earnest",18,0,1,1,5,3,3,0,72803,1,26,Production Technician I,MA,1301,12/01/74,M ,Single,US Citizen,No,White,5/12/2014,9/4/2014,N/A-StillEmployed,Terminated for Cause,IT/IS,Kissy Sullivan,20,Website,Fully Meets,4.29,2,2,4/5/2013,2,8
"Bates, Norman",31,0,0,0,4,5,3,0,103492,0,24,Production Technician II,MA,14776,07/10/83,F,Single,US Citizen,No,White,7/11/2011,,N/A-StillEmployed,Active,IT/IS,Lynn Daneault,21,Google Search,Fully Meets,3.6,3,3,2/21/2019,1,10
"Akinkuolie, Sarah",172,1,1,1,1,6,2,0,69625,0,13,Production Manager,MA,22616,07/07/84,F,Married,US Citizen,No,White,2/20/2012,,N/A-StillEmployed,Active,Sales,Peter Monroe,7,Google Search,Fully Meets,1.84,4,3,1/14/2019,2,13
"Shields, Seffi",17,1,0,0,5,6,3,0,49267,1,15,Production Technician I,MA,39983,05/11/90,F,Single,US Citizen,No,White,3/30/2015,9/5/2016,relocation out of area,Terminated for Cause,Production       ,Kissy Sullivan,20,Diversity Job Fair,Fully Meets,2.44,4,1,7/14/2010,1,16
